613def9d5ecf63bd9710f557,1,¿Cuál es el país más pequeño del mundo?,El Vaticano,Mónaco,San Marino,Liechtenstein,1
613df0195ecf63bd9710f558,1,¿Cuál es el río más largo del mundo?,Misisipi,Nilo,Amazonas,Yangtsé,3
613df0ab5ecf63bd9710f559,1,¿Qué artista pinto el techo de la Capilla Sixtina en Roma?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Miguel Ángel,4
613df1265ecf63bd9710f55a,1,¿De qué ciudad son originarios los Beatles?,Liverpool,Londres,Cambridge,Oxford,1
613df2275ecf63bd9710f55b,1,¿Quién fue el primer presidente de Estados Unidos?,Abraham Lincoln,John Adams,Thomas Jefferson,George Washington,4
613df2f65ecf63bd9710f55c,2,"¿Quiénes fueron, según la leyenda, los dos hermanos fundadores de la ciudad de Roma?",Rómulo y Remo,Romario y Ramon,Carlos y Guillermo,Guillermo y Mario,1
613df39b5ecf63bd9710f55d,2,"¿Cómo se llama el fundador de la religión conocida como Movimiento de los Santos de los Últimos Días, asociados al Libro de Mormón?",Iósif Stalin,Charles Taze Russell,Joseph Smith Jr.,Martín Lutero,3
613df4495ecf63bd9710f55e,2,¿Cuál es la lengua más hablada del mundo?,Ingles,Chino mandarín,Hindi,Español,1
613df4ba5ecf63bd9710f55f,2,¿Cuál es la capital de Brasil?,Río de Janeiro,São Paulo,Belo Horizonte,Brasilia,4
613df52c5ecf63bd9710f560,2,¿Cuál es la capital de Australia?,Canberra,Melbourne,Sídney,Brisbane,1
613df5d75ecf63bd9710f561,3,¿Qué cordillera separa Europa de Asia?,Cordillera de los Andes,Himalaya,Los Alpes,Montes Urales,4
613df6965ecf63bd9710f562,3,¿Cuál es el nombre de la isla en la que vive la tribu no contactada menos conocida del mundo?,Sentinel del Norte,Kauai,Maui,Lanzarote,1
613df7125ecf63bd9710f563,3,¿Qué nombre tenía el caballo de Don Quijote de la Mancha?,La yegua Babieca,Palomo,Rocinante,Bucéfalo,3
613df7af5ecf63bd9710f564,3,¿Por qué fue famosa Marie Curie?,Por sus Pinturas,La radiactividad,Matematica,Abogada,2
613df8055ecf63bd9710f565,3,"¿Alrededor de qué planeta orbitan los satélites Ganímedes, Calisto, Ío y Europa?",Marte,Saturno,Júpiter,Urano,3
613df8835ecf63bd9710f566,4,¿En qué país se habla mayoritariamente el idioma tagálog?,Bután,Camerún,Kenia,Filipinas,4
613df8f85ecf63bd9710f567,4,¿Quién pintó el “Guernica”?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Salvador Dalí,2
613df99b106d8a6ea3d2e998,4,¿Qué personaje del universo literario de Harry Potter tiene una rata llamada Scabbers?,Harry Potter,Hermione Granger,Ron Weasley,Draco Malfoy,3
613dfa10106d8a6ea3d2e999,4,¿En que año se celebró la primera Copa Mundial de Fútbol?,1930,1908,1927,1915,1
613dfab2106d8a6ea3d2e99a,4,¿En qué año se creó la Organización de las Naciones Unidas?,1930,1983,1942,1945,4
613dfb16106d8a6ea3d2e99b,5,¿Qué carabela no volvió del viaje en el que Colón arribó a América por primera vez?,Pinta,La Niña,La Santa María,Todas volvieron,3
613dfb5b106d8a6ea3d2e99c,5,¿Cómo se llama el filósofo español conocido por su desarrollo de la teoría del cierre categorial?,Gustavo Bueno Martínez,José Ortega y Gasset,José Ferrater Mora,Xavier Zubiri,1
613dfbcb106d8a6ea3d2e99d,5,¿Qué grupo étnico ha desarrollado una mitología en la que tiene mucha importancia el concepto de “Tiempo del Sueño”?,Romanos,Griegos,Los aborígenes australianos,Los aborígenes amazonicos,3
613dfc41106d8a6ea3d2e99e,5,"¿Qué película de Christopher Nolan narra la historia de un hombre con amnesia anterógrada, que no puede crear nuevos recuerdos a partir de lo que le va ocurriendo?",Memento,Insomnia,Following,Doodlebug,1
613dfd16106d8a6ea3d2e99f,5,¿Qué jugador de la NBA ha ganado más campeonatos?,Shaquille O'Neal,Michael Jordan,Larry Bird,Bill Russell,4
613e1e989404f40984356b22,1,¿Cuál es el monte más alto del mundo?,Mont Blanc,Aconcagua,Kilimanjaro,Monte Everest,4
613e27bd00db421f59b541a1,2,¿Quién fue el famoso cantante del grupo musical Queen?,Kurt Cobain ,Axl Rose,Freddie Mercury,Jon Bon Jovi,3
